,townships,sr,First_ts,First_sr,Township_Name_Eng,Tsp_Pcode,SR_Pcode,SR_Name_Eng,Township_Name_MMR
37,Kyauktan Township,Yangon Region,Kyauktan,Yangon,Kyauktan,MMR013024,MMR013,Yangon,ကျောက်တန်း
38,Twantay Township,Yangon Region,Twantay,Yangon,Twantay,MMR013027,MMR013,Yangon,တွံတေး
39,Pabedan Township,Yangon Region,Pabedan,Yangon,Pabedan,MMR013034,MMR013,Yangon,ပန်းဘဲတန်း
40,Pazundaung Township,Yangon Region,Pazundaung,Yangon,Pazundaung,MMR013016,MMR013,Yangon,ပုဇွန်တောင်
41,Latha Township,Yangon Region,Latha,Yangon,Latha,MMR013036,MMR013,Yangon,လသာ
42,Pathein Township,Ayeyarwady Region,Pathein,Ayeyarwady,Pathein,MMR017001,MMR017,Ayeyarwady,ပုသိမ်
43,Hinthada Township,Ayeyarwady Region,Hinthada,Ayeyarwady,Hinthada,MMR017008,MMR017,Ayeyarwady,ဟင်္သာတ
44,Dagon Township,Yangon Region,Dagon,Yangon,Dagon,MMR013043,MMR013,Yangon,ဒဂုံ
45,Patheingyi Township,Mandalay Region,Patheingyi,Mandalay,Patheingyi,MMR010007,MMR010,Mandalay,ပုသိမ်ကြီး
46,Taikkyi Township,Yangon Region,Taikkyi,Yangon,Taikkyi,MMR013005,MMR013,Yangon,တိုက်ကြီး
47,Kyauktada Township,Yangon Region,Kyauktada,Yangon,Kyauktada,MMR013033,MMR013,Yangon,ကျောက်တံတား
48,Htantabin Township,Yangon Region,Htantabin,Yangon,Htantabin,MMR013006,MMR013,Yangon,ထန်းတပင်
49,Aunglan Township,Magway Region,Aunglan,Magway,Aunglan,MMR009016,MMR009,Magway,အောင်လံ
50,Hpa-An Township,Kayin State,Hpa-An,Kayin,Hpa-An,MMR003001,MMR003,Kayin,ဘားအံ
51,Sagaing Township,Sagaing Region,Sagaing,Sagaing,Sagaing,MMR005001,MMR005,Sagaing,စစ်ကိုင်း
52,Maubin Township,Ayeyarwady Region,Maubin,Ayeyarwady,Maubin,MMR017019,MMR017,Ayeyarwady,မအူပင်
53,Mawlamyinegyun Township,Ayeyarwady Region,Mawlamyinegyun,Ayeyarwady,Mawlamyinegyun,MMR017018,MMR017,Ayeyarwady,မော်လမြိုင်ကျွန်း
54,Zay Yar Thi Ri Township,Naypyitaw,Zay Yar Thi Ri,Nay Pyi Taw,Zay Yar Thi Ri,MMR018001,MMR018,Nay Pyi Taw,ဇေယျာသီရိ
55,Myingyan Township,Mandalay Region,Myingyan,Mandalay,Myingyan,MMR010017,MMR010,Mandalay,မြင်းခြံ
56,Thaton Township,Mon State,Thaton,Mon,Thaton,MMR011007,MMR011,Mon,သထုံ
57,Hpakant Township,Kachin State,Hpakant,Kachin,Hpakant,MMR001009,MMR001,Kachin,ဖားကန့်
58,Kale Township,Sagaing Region,Kale,Sagaing,Kale,MMR005027,MMR005,Sagaing,ကလေး
59,Kyaukpyu Township,Rakhine State,Kyaukpyu,Rakhine,Kyaukpyu,MMR012011,MMR012,Rakhine,ကျောက်ဖြူ
60,Seikgyikanaungto Township,Yangon Region,Seikgyikanaungto,Yangon,Seikgyikanaungto,MMR013031,MMR013,Yangon,ဆိပ်ကြီး/ခနောင်တို
61,Kayan Township,Yangon Region,Kayan,Yangon,Kayan,MMR013026,MMR013,Yangon,ခရမ်း
62,Thongwa Township,Yangon Region,Thongwa,Yangon,Thongwa,MMR013025,MMR013,Yangon,သုံးခွ
63,Dedaye Township,Ayeyarwady Region,Dedaye,Ayeyarwady,Dedaye,MMR017026,MMR017,Ayeyarwady,ဒေးဒရဲ
64,Magway Township,Magway Region,Magway,Magway,Magway,MMR009001,MMR009,Magway,မကွေး
65,Maungdaw Township,Rakhine State,Maungdaw,Rakhine,Maungdaw,MMR012009,MMR012,Rakhine,မောင်တော
66,Myawaddy Township,Kayin State,Myawaddy,Kayin,Myawaddy,MMR003005,MMR003,Kayin,မြဝတီ
67,Kawhmu Township,Yangon Region,Kawhmu,Yangon,Kawhmu,MMR013028,MMR013,Yangon,ကော့မှူး
68,Kyaikto Township,Mon State,Kyaikto,Mon,Kyaikto,MMR011009,MMR011,Mon,ကျိုက်ထို
69,Sintgaing Township,Mandalay Region,Sintgaing,Mandalay,Sintgaing,MMR010014,MMR010,Mandalay,စဉ့်ကိုင်
70,Myeik Township,Tanintharyi Region,Myeik,Tanintharyi,Myeik,MMR006005,MMR006,Tanintharyi,မြိတ်
71,Kungyangon Township,Yangon Region,Kungyangon,Yangon,Kungyangon,MMR013029,MMR013,Yangon,ကွမ်းခြံကုန်း
72,Salin Township,Magway Region,Salin,Magway,Salin,MMR009010,MMR009,Magway,စလင်း
73,Kyonpyaw Township,Ayeyarwady Region,Kyonpyaw,Ayeyarwady,Kyonpyaw,MMR017005,MMR017,Ayeyarwady,ကျုံပျော်
74,Taungtha Township,Mandalay Region,Taungtha,Mandalay,Taungtha,MMR010018,MMR010,Mandalay,တောင်သာ
75,Mrauk-U Township,Rakhine State,Mrauk-U,Rakhine,Mrauk-U,MMR012003,MMR012,Rakhine,မြောက်ဦး
76,Kyauktaw Township,Rakhine State,Kyauktaw,Rakhine,Kyauktaw,MMR012004,MMR012,Rakhine,ကျောက်တော်
77,Bogale Township,Ayeyarwady Region,Bogale,Ayeyarwady,Bogale,MMR017024,MMR017,Ayeyarwady,ဘိုကလေး
78,Kyaiklat Township,Ayeyarwady Region,Kyaiklat,Ayeyarwady,Kyaiklat,MMR017025,MMR017,Ayeyarwady,ကျိုက်လတ်
79,Taungdwingyi Township,Magway Region,Taungdwingyi,Magway,Taungdwingyi,MMR009004,MMR009,Magway,တောင်တွင်းကြီး
80,Labutta Township,Ayeyarwady Region,Labutta,Ayeyarwady,Labutta,MMR017016,MMR017,Ayeyarwady,လပွတ္တာ
81,Nyaungdon Township,Ayeyarwady Region,Nyaungdon,Ayeyarwady,Nyaungdon,MMR017021,MMR017,Ayeyarwady,ညောင်တုန်း
82,Myothit Township,Magway Region,Myothit,Magway,Myothit,MMR009005,MMR009,Magway,မြို့သစ်
83,Taunggyi Township,Shan State (South),Taunggyi,Shan (South),Taunggyi,MMR014001,MMR014,Shan (South),တောင်ကြီး
84,Za Bu Thi Ri Township,Naypyitaw,Za Bu Thi Ri,Nay Pyi Taw,Za Bu Thi Ri,MMR018002,MMR018,Nay Pyi Taw,ဇမ္ဗူသီရိ
85,Minbu Township,Magway Region,Minbu,Magway,Minbu,MMR009007,MMR009,Magway,မင်းဘူး
86,Meiktila Township,Mandalay Region,Meiktila,Mandalay,Meiktila,MMR010028,MMR010,Mandalay,မိတ္ထီလာ
87,Pyapon Township,Ayeyarwady Region,Pyapon,Ayeyarwady,Pyapon,MMR017023,MMR017,Ayeyarwady,ဖျာပုံ
88,Shwebo Township,Sagaing Region,Shwebo,Sagaing,Shwebo,MMR005004,MMR005,Sagaing,ရွှေဘို
89,Kawkareik Township,Kayin State,Kawkareik,Kayin,Kawkareik,MMR003006,MMR003,Kayin,ကော့ကရိတ်
90,Myaungmya Township,Ayeyarwady Region,Myaungmya,Ayeyarwady,Myaungmya,MMR017014,MMR017,Ayeyarwady,မြောင်းမြ
91,Natmauk Township,Magway Region,Natmauk,Magway,Natmauk,MMR009006,MMR009,Magway,နတ်မောက်
